file,subject,condition,c1_gating_pac_mean,c1_gating_pac_std,c2_organization_plv_mean,c2_organization_plv_std,c3_regime_timing_corr,c3_regime_timing_pval,c3_n_transitions,c2_ablation_randomize_plv_mean,c3_ablation_randomize_corr,c3_ablation_randomize_pval,c2_ablation_destroy_coherence_plv_mean,c3_ablation_destroy_coherence_corr,c3_ablation_destroy_coherence_pval
S001_task-EyesClosed_eeg.mat,S001,eyes_closed,2.5225454465919412,2.553067753041781,0.41382020551793797,0.2562890583256864,,,0,0.41382020551793797,,,0.868606007041058,0.9999983326098901,2.584577626737545e-09
S001_task-EyesOpen_eeg.mat,S001,eyes_closed,1.45109707945154,0.21568308769583117,0.7635204531298802,0.15199511603785662,-0.25862772343995866,0.6744136943792857,1,0.7635204531298802,-0.25862772343995866,0.6744136943792857,0.7688573211359073,0.9999983175185893,2.6197458409584056e-09
S002_task-EyesClosed_eeg.mat,S002,eyes_closed,2.192893505998706,1.1286643199047914,0.5099754102585636,0.2531283876525896,-0.2505902152710335,0.6843100771508596,1,0.5099754102585636,-0.2505902152710335,0.6843100771508596,0.7001297961918804,0.9999982386920168,2.8059937413910087e-09
S002_task-EyesOpen_eeg.mat,S002,eyes_closed,0.8232334112882179,0.7529861816604165,0.5166490828286078,0.2812125969876978,0.9992946196974221,2.248655330402427e-05,1,0.5166490828286078,0.9992946196974221,2.248655330402427e-05,0.8616665768587386,0.9999983268470138,2.597988520159551e-09
S003_task-EyesClosed_eeg.mat,S003,eyes_closed,2.0778776303898963,1.6921994496563257,0.6524657206573988,0.21893022081017555,-0.2535782097185043,0.6806285090307731,1,0.6524657206573988,-0.2535782097185043,0.6806285090307731,0.777951567062789,0.9999982128027427,2.8680880164484583e-09
S003_task-EyesOpen_eeg.mat,S003,eyes_closed,2.346815065380979,0.7162628981705674,0.710254122064484,0.19110989582524238,-0.2500455171003921,0.6849815289289418,1,0.710254122064484,-0.2500455171003921,0.6849815289289418,0.6298580375499057,0.9999985195690986,2.162300125188986e-09
S004_task-EyesClosed_eeg.mat,S004,eyes_closed,1.4190028869728897,0.734476615246585,0.7239597070676552,0.12621350690199012,,,0,0.7239597070676552,,,0.858490232879403,0.9999984280162018,2.365951585812472e-09
S004_task-EyesOpen_eeg.mat,S004,eyes_closed,0.35625165786898394,0.17724118300749664,0.7176950608996459,0.15771160770336598,-0.26480782986755513,0.666819222244447,1,0.7176950608996457,-0.2648078298675552,0.666819222244447,0.7794779974706363,0.9999985426867508,2.111850313447449e-09
S005_task-EyesClosed_eeg.mat,S005,eyes_closed,1.1626155053995726,0.327048600182039,0.4837061417691153,0.17733362206474196,,,0,0.4837061417691153,,,0.8177593859178154,0.9999982524566502,2.773164807166175e-09
S005_task-EyesOpen_eeg.mat,S005,eyes_closed,0.9207593283453612,0.2944794042294037,0.46933403472979585,0.2457349991342581,0.9999982485334621,2.7825085663128252e-09,1,0.4693340347297958,0.9999982485334621,2.7825085663128252e-09,0.8692613549613184,0.9999983090831694,2.6394723545580176e-09
S006_task-EyesClosed_eeg.mat,S006,eyes_closed,0.5923024142449946,0.2543840861268121,0.45934396812141426,0.24799824902976875,-0.25033922817915755,0.684619457884574,1,0.45934396812141426,-0.25033922817915755,0.684619457884574,0.8565383855683016,0.999998373236791,2.490693366860524e-09
S006_task-EyesOpen_eeg.mat,S006,eyes_closed,0.48091462267357876,0.21643201393815484,0.6154112277943724,0.23373475404631056,-0.2487699529778161,0.6865543036423024,1,0.6154112277943724,-0.2487699529778161,0.6865543036423024,0.9250051285294114,0.9999983094293561,2.6386618151709633e-09
S007_task-EyesClosed_eeg.mat,S007,eyes_closed,4.117571728426404,3.137783299297676,0.5891253804235688,0.19011234344000819,-0.2504537333396547,0.6844783098425985,1,0.5891253804235689,-0.2504537333396547,0.6844783098425985,0.7807225564431935,0.9999983472511724,2.550609872621337e-09
S007_task-EyesOpen_eeg.mat,S007,eyes_closed,3.4492174212615336,2.1793544622955805,0.4765009537688629,0.2737354608500086,-0.2512046828416604,0.6835527377188241,1,0.4765009537688629,-0.2512046828416604,0.6835527377188241,0.8355368002053858,0.999998428077191,2.3658138972707462e-09
S008_task-EyesClosed_eeg.mat,S008,eyes_closed,0.550162309854507,0.53185153085135,0.7735116073452334,0.12616248276407613,-0.26032142743692593,0.6723310637044885,1,0.7735116073452334,-0.26032142743692593,0.6723310637044885,0.8003544395219178,0.9999984438973751,2.3301887920653475e-09
S008_task-EyesOpen_eeg.mat,S008,eyes_closed,0.9629036209418667,0.3192938823587114,0.7787085571315434,0.11956337179214041,-0.23732892142600984,0.7006845777039251,1,0.7787085571315434,-0.23732892142600984,0.7006845777039251,0.8115809808955596,0.99999825466122,2.7679188377716092e-09
S009_task-EyesClosed_eeg.mat,S009,eyes_closed,1.916533801686437,1.2141019447849923,0.570542315347368,0.1750820227785628,-0.24198035958639563,0.6949347777566058,1,0.5705423153473681,-0.24198035958639563,0.6949347777566058,0.8991435851037307,0.9999983023376122,2.6552825236697173e-09
S009_task-EyesOpen_eeg.mat,S009,eyes_closed,0.7052103501051923,0.476243755459502,0.5575610005677236,0.21593761884415627,-0.2543416088390136,0.6796883860457626,1,0.5575610005677237,-0.2543416088390136,0.6796883860457626,0.8694823286772663,0.9999983025409344,2.654805519670683e-09
S010_task-EyesClosed_eeg.mat,S010,eyes_closed,1.8415857451405802,1.4823320388357717,0.5883445984714388,0.18260463552702927,-0.2679969181663644,0.6629054885966336,1,0.5883445984714387,-0.2679969181663644,0.6629054885966336,0.6145158926629006,0.9999987675360124,1.6424612582632021e-09
S010_task-EyesOpen_eeg.mat,S010,eyes_closed,0.9113157106888723,0.6202687528444967,0.4241645021619927,0.27400928393809754,-0.13168358473843403,0.832821087740821,1,0.4241645021619927,-0.13168358473843403,0.832821087740821,0.8282226468635937,0.9999983765103756,2.4831790058788187e-09
S011_task-EyesClosed_eeg.mat,S011,eyes_closed,0.45591869047469424,0.17946214468667177,0.5686557261805342,0.20927391351079652,-0.2421569582164267,0.694716612704146,1,0.5686557261805342,-0.24215695821642672,0.694716612704146,0.8046668398086678,0.999998373359956,2.490410510258153e-09
S011_task-EyesOpen_eeg.mat,S011,eyes_closed,0.319459412205895,0.175026485294831,0.577974816067622,0.19466750862103424,-0.309199035468015,0.6126817123946531,1,0.577974816067622,-0.309199035468015,0.6126817123946531,0.7749926336657256,0.9999981051978516,3.130974544541502e-09
S012_task-EyesClosed_eeg.mat,S012,eyes_closed,0.32351223813192687,0.19689985708787602,0.5274965883757108,0.20763146667634128,-0.24277692390227892,0.69395080279847,1,0.5274965883757107,-0.24277692390227892,0.69395080279847,0.802699570496227,0.9999983240636963,2.6044739094440987e-09
S012_task-EyesOpen_eeg.mat,S012,eyes_closed,0.4417360034016353,0.35201969308134107,0.5358718249948884,0.19907020541138706,0.9994721133425163,1.4558294265385205e-05,1,0.5358718249948884,0.9994721133425163,1.4558294265385205e-05,0.814404097844299,0.999998364233287,2.5113994815169305e-09
S013_task-EyesClosed_eeg.mat,S013,eyes_closed,3.0709583226115145,0.7925146970084226,0.6859300583604973,0.17138101575823445,0.6117761544613765,0.27282878375854897,2,0.6859300583604973,0.6117761544613765,0.27282878375854897,0.8716339296701966,0.9999984244631044,2.3739776260220017e-09
S013_task-EyesOpen_eeg.mat,S013,eyes_closed,0.9728419969662585,0.7001441231977698,0.46013546483965134,0.2722715452319329,-0.256815686998205,0.6766429128691314,1,0.46013546483965134,-0.256815686998205,0.6766429128691314,0.923554242074273,0.9999982637500934,2.746326056119512e-09
S014_task-EyesClosed_eeg.mat,S014,eyes_closed,2.674144910217226,0.9524089758817371,0.5544353704152127,0.2925615168696773,-0.25079736207181014,0.6840547520507079,1,0.5544353704152127,-0.25079736207181014,0.6840547520507079,0.8217297447508453,0.9999982205302533,2.849506518004764e-09
S014_task-EyesOpen_eeg.mat,S014,eyes_closed,1.627972101053127,0.69449211341229,0.6792239402050716,0.12213615712673168,0.999996461611047,7.989911752426094e-09,1,0.6792239402050715,0.999996461611047,7.989911752426094e-09,0.8933236265298484,0.9999983581118472,2.5255100681937754e-09
S015_task-EyesClosed_eeg.mat,S015,eyes_closed,1.9569581834232064,1.1304825302401837,0.44700213545591494,0.23563865300696807,-0.24391442291036147,0.6925460308627732,1,0.447002135455915,-0.24391442291036147,0.6925460308627732,0.9240266459812254,0.9999982713335251,2.728352997102478e-09
S015_task-EyesOpen_eeg.mat,S015,eyes_closed,2.8355398274193213,1.0216932039198565,0.7296913413753996,0.10250263161671312,0.6145466689746812,0.2700421878268127,2,0.7296913413753996,0.6145466689746812,0.2700421878268127,0.7874745181773748,0.999998361271819,2.5182226980821636e-09
